repo_full_name,alert_number,state,created_at,updated_at,dismissed_at,dismissed_reason,dependency_name,dependency_scope,vulnerability_severity,vulnerability_advisory_ghsa_id,vulnerability_advisory_summary,vulnerability_advisory_description,vulnerability_cve_id,first_patched_version,vulnerable_versions
suheip2002/Soial-media-dashboard-with-dark-light-toggle,10,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,ws,runtime,high,,,,,,">= 8.0.0, < 8.17.1"
suheip2002/Soial-media-dashboard-with-dark-light-toggle,9,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,braces,runtime,high,,,,,,< 3.0.3
suheip2002/Soial-media-dashboard-with-dark-light-toggle,8,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,follow-redirects,runtime,medium,,,,,,<= 1.15.5
suheip2002/Soial-media-dashboard-with-dark-light-toggle,7,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,es5-ext,runtime,low,,,,,,">= 0.10.0, < 0.10.63"
suheip2002/Soial-media-dashboard-with-dark-light-toggle,6,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,axios,runtime,medium,,,,,,">= 0.8.1, < 0.28.0"
suheip2002/Soial-media-dashboard-with-dark-light-toggle,5,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,follow-redirects,runtime,medium,,,,,,< 1.15.4
suheip2002/Soial-media-dashboard-with-dark-light-toggle,4,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,@babel/traverse,runtime,critical,,,,,,< 7.23.2
suheip2002/Soial-media-dashboard-with-dark-light-toggle,3,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,postcss,runtime,medium,,,,,,< 8.4.31
suheip2002/Soial-media-dashboard-with-dark-light-toggle,2,open,2025-07-31 10:36:18+00:00,2025-07-31 10:36:18+00:00,,,semver,runtime,high,,,,,,< 5.7.2
suheip2002/Soial-media-dashboard-with-dark-light-toggle,1,open,2025-07-31 10:36:17+00:00,2025-07-31 10:36:17+00:00,,,semver,runtime,high,,,,,,">= 6.0.0, < 6.3.1"
